links,title,time,content,class
https://nltimes.nl/2023/01/03/dutch-sailor-dies-trying-shoot-flare-new-years-pacific-ocean,Dutch sailor dies trying to shoot flare during New Year’s on the Pacific Ocean,3 January 2023 - 11:10,,1-1-2Weird
https://nltimes.nl/2023/01/03/nazi-treasure-map-among-many-documents-made-public-national-archives-today,Nazi treasure map among many documents to be made public by National Archives today,3 January 2023 - 10:21,,PoliticsTechScience
https://nltimes.nl/2023/01/03/sharp-increase-traffic-accident-fatalities,Sharp increase in traffic accident fatalities,3 January 2023 - 09:37,,Crime1-1-2
https://nltimes.nl/2023/01/03/klm-labor-unions-want-new-european-covid-rules-china-flights,KLM labor unions want new European Covid rules for China flights,3 January 2023 - 08:56,,HealthPoliticsBusiness
https://nltimes.nl/2023/01/03/enforcement-fireworks-ban-priority-police-confirm,"Enforcement of the fireworks ban was not a priority, police confirm",3 January 2023 - 07:50,,CrimePolitics
https://nltimes.nl/2023/01/03/14-year-old-boy-shot-setting-fireworks-lelystad,14-year-old boy shot while setting off fireworks in Lelystad,3 January 2023 - 07:20,,Crime
https://nltimes.nl/2023/01/02/advocacy-groups-worried-neo-nazi-racist-statements-appear-rotterdam-bridge,Advocacy groups worried after Neo-Nazi & racist statements appear on Rotterdam bridge,2 January 2023 - 18:50,,CrimePoliticsWeird
https://nltimes.nl/2023/01/02/man-accused-biting-police-officers-leg-resisting-arrest,Man accused of biting police officer's leg while resisting arrest,2 January 2023 - 18:00,,CrimeWeird
https://nltimes.nl/2023/01/02/chaotic-year-schiphol-cancels-staff-new-years-party,"After a chaotic year, Schiphol cancels staff New Year's party",2 January 2023 - 17:10,,BusinessCultureEntertainment
/2023/01/08/foreign-minister-hoekstra-summons-iranian-ambassador-executions,Foreign Minister Hoekstra summons Iranian ambassador over executions,8 January 2023 - 09:45,,Politics
/2023/01/08/many-people-still-looking-alleged-nazi-treasure-near-ommeren,Many people still looking for alleged Nazi treasure near Ommeren,8 January 2023 - 09:13,,PoliticsCultureWeird
/2023/01/08/train-traffic-zwolle-meppel-back-track-repairs,Train traffic between Zwolle and Meppel back on track after repairs,8 January 2023 - 08:30,,1-1-2Business
https://nltimes.nl/2023/01/02/one-professional-new-years-fireworks-show-set-amsterdam-monday,One more professional New Year's fireworks show set for Amsterdam on Monday,2 January 2023 - 16:27,,CultureEntertainment
https://nltimes.nl/2023/01/02/teenagers-accused-67-stabbings-2022-including-10-fatal,"Teenagers accused in 67 stabbings in 2022, including 10 which were fatal",2 January 2023 - 14:32,,Crime
https://nltimes.nl/2023/01/02/eu589-million-postal-code-lottery-awarded-heemskerk-neighborhoods,€58.9 million postal code lottery awarded in Heemskerk neighborhoods,2 January 2023 - 12:50,,BusinessCultureEntertainment
https://nltimes.nl/2023/01/02/gas-prices-fall-europe-amsterdam-trading-kicks-2023,Gas prices fall further in Europe as Amsterdam trading kicks off in 2023 ,2 January 2023 - 12:00,,Business
https://nltimes.nl/2023/01/02/eye-hospitals-youngest-fireworks-patient-7-eye-removed-another-nye-victim,Eye Hospital’s youngest fireworks patient is 7; Eye removed from another NYE victim,2 January 2023 - 11:10,,Health1-1-2
https://nltimes.nl/2023/01/02/dutch-murder-total-6-rotterdam-new-murder-capital-16-victims-2022,"Dutch murder total up 6%, Rotterdam the new murder capital with 16 victims in 2022",2 January 2023 - 10:29,,Crime
https://nltimes.nl/2023/01/02/dutch-government-failed-people-says-national-ombudsman-scathing-interview,"Dutch government has failed the people, says National Ombudsman in scathing interview",2 January 2023 - 09:35,,Politics
https://nltimes.nl/2023/01/02/dutch-woman-28-dies-icy-austria-ski-accident-friend-seriously-injured,"Dutch woman, 28, dies in icy Austria ski accident; Friend seriously injured",2 January 2023 - 09:09,,1-1-2Sports
https://nltimes.nl/2023/01/02/kia-beats-volkswagen-take-top-spot-popular-car-brand-netherlands,Kia beats Volkswagen to take top spot as most popular car brand in Netherlands,2 January 2023 - 08:50,,Business
https://nltimes.nl/2023/01/02/mayors-renew-call-national-fireworks-ban-new-years-incidents-police-unions-agree,Mayors renew call for national fireworks ban after New Year’s incidents; Police unions agree,2 January 2023 - 07:50,,Crime1-1-2Politics
https://nltimes.nl/2023/01/02/6000-ducks-killed-barn-fire-possibly-caused-fireworks,"Some 6,000 ducks killed in barn fire possibly caused by fireworks",2 January 2023 - 07:20,,Crime1-1-2Weird
https://nltimes.nl/2023/01/01/ukrainian-refugee-killed-car-crash-injured-4-others-including-2-refugees,"Ukrainian refugee killed in car crash that injured 4 others, including 2 more refugees",1 January 2023 - 18:44,,1-1-2
